5_INCRICAO_IMOVEL_UNIDADE	7_GEOCODING	46_ENDERECO	47_BAIRRO	44_Y_UTM	45_X_UTM	16_1_ANO_AV	PESO_AVALIACAO	VLR_AVALIACAO	24_AREA_CONST_UNIDADE	25_AREA_TOTAL_CONSTR	27_QTD_PAV	30_PADRAO_CONST	31_ESTADO_CONSERV	32_IDADE	36_TIPO_VIA	39_ILUM_PUBLI	41_PAVIMENTAC	58_V005_
1.3115.359.02.0184.0001.8	131153590184	AV. BERNARDO VIEIRA DE MELO, 7576, ED. BARCELONA, 	CANDEIAS	9091411,53	288421,29	2019	2	230000,00	84,73	2669,28	4	4	2	33	2	2	2	3253,71
1.3115.361.02.0166.0001.4	131153610166	AVENIDA PRESIDENTE KENNEDY, 7608, CANDEIAS, ED. EDIFICIO ILHA DE CRETA	CANDEIAS	9091443,20	288329,49	2020	3	180000,00	43,09	1712,95	4	3	3	38	2	2	1	3253,71
1.3115.361.02.0166.0001.4	131153610166	AVENIDA PRESIDENTE KENNEDY, EDF.EDIFICIO ILHA DE CRETA, CANDEIAS	CANDEIAS	9091443,20	288329,49	2019	2	180000,00	43,09	1712,95	4	3	3	38	1	2	1	3253,71
1.3115.369.01.0099.0001.9	131153690099	RUA BACHAREL JOSÉ MÁRIO DE OLIVEIRA, 501, CANDEIAS, ED. EDF MONTESQUIEU	CANDEIAS	9091559,52	288031,87	2020	3	130000,00	59,25	3078,93	4	3	3	20	1	2	1	1602,36
1.3115.369.01.0099.0001.9	131153690099	RUA BACHAREL JOSÉ MÁRIO DE OLIVEIRA, EDF.EDF MONTESQUIEU, CANDEIAS	CANDEIAS	9091559,52	288031,87	2019	2	130000,00	59,25	3078,93	4	3	3	20	1	2	1	1602,36
1.3115.369.01.0099.0001.9	131153690099	RUA RUA PROFESSOR MÁRIO RAMOS, 501, CANDEIAS	CANDEIAS	9091566,69	288042,99	2017	1	160000,00	59,25	3078,93	4	4	2	10	1	2	1	1602,36
1.3115.463.03.0262.0001.4	131154630262	RUA CAPITAO MEDICO OSIAS RIBEIRO, 700, CANDEIAS, ED. SÁVIO SOARES	BARRA DE JANGADA	9091526,77	287693,57	2017	1	150000,00	50,00	6012,38	4	3	2	6	1	1	1	880,67
1.3115.463.03.0262.0001.4	131154630262	RUA CAMPO GRANDE, 700, CANDEIAS, ED. EDF PRIVE CLUB SAVIO SOARES	BARRA DE JANGADA	9091526,77	287693,57	2020	3	130000,00	53,78	6012,38	4	3	2	6	1	1	1	880,67
1.3115.463.03.0262.0001.4	131154630262	RUA CAMPO GRANDE, EDF.EDF PRIVE CLUB SAVIO SOARES, CANDEIAS	BARRA DE JANGADA	9091526,77	287693,57	2019	2	130000,00	53,78	6012,38	4	3	2	7	1	1	1	880,67
1.3115.463.03.0262.0001.4	131154630262	RUA CAPITAO MEDICO OSIAS RIBEIRO, EDF.SÁVIO SOARES, CANDEIAS	BARRA DE JANGADA	9091526,77	287693,57	2019	2	150000,00	50,00	6012,38	4	3	2	7	1	1	1	880,67
1.3115.463.03.0262.0001.4	131154630262	RUA RUA CAPITÃO MÉDICO OSIAS RIBEIRO, , BARRA DE JANGADA	BARRA DE JANGADA	9091515,47	287704,86	2017	1	155000,00	51,00	51,00	4	3	3	7	1	1	1	880,67
1.3115.471.02.0108.0001.1	131154710108	RUA BACHAREL JOSÉ MÁRIO DE OLIVEIRA, 7090, CANDEIAS, ED. PRINCESA ESTHER	BARRA DE JANGADA	9091433,67	287995,82	2017	1	45000,00	59,62	1128,30	4	3	3	30	1	2	1	1507,09
1.3115.471.02.0108.0001.1	131154710108	RUA BACHAREL JOSÉ MÁRIO DE OLIVEIRA, EDF.PRINCESA ESTHER, CANDEIAS	BARRA DE JANGADA	9091433,67	287995,82	2019	2	45000,00	59,62	1128,30	4	3	3	30	1	2	1	1507,09
1.3115.671.01.0572.0001.1	131156710572	RUA ENGENHEIRO LUCIANO LUÍS DE BARROS, SN, BARRA DE JANGADA, ED. RESIDÊNCIAL PRAIA DO SOL	BARRA DE JANGADA	9090957,63	287439,15	2017	1	130000,00	82,00	9858,24	4	3	3	2	1	2	2	1311,27
1.3115.671.01.0572.0001.1	131156710572	RUA ENGENHEIRO LUCIANO LUÍS DE BARROS, EDF.RESIDÊNCIAL PRAIA DO SOL, BARRA DE JANG	BARRA DE JANGADA	9090957,63	287439,15	2019	2	130000,00	82,00	9858,24	4	3	3	38	1	2	2	1311,27
1.3115.677.01.0508.0001.1	131156770508	RUA ITAQUATINGA, SN, BARRA DE JANGADA, ED. RESIDENCIAL PRAIA DO SOL	BARRA DE JANGADA	9090999,22	287294,70	2020	3	110000,00	58,86	11670,72	4	3	3	38	1	2	2	1502,79
1.3115.677.01.0508.0001.1	131156770508	RUA ITAQUATINGA, EDF.RESIDENCIAL PRAIA DO SOL, BARRA DE JANG	BARRA DE JANGADA	9090999,22	287294,70	2019	2	110000,00	58,86	11670,72	4	3	3	38	1	2	2	1502,79
1.3115.677.01.0508.0001.1	131156770508	RUA RUA TÔRRES, QD. 23, BL. A 7, , BARRA DE JANGADA	BARRA DE JANGADA	9090976,03	287365,16	2017	1	130000,00	83,00	83,00	4	3	2	38	1	2	2	1502,79
1.3115.677.01.0508.0001.1	131156770508	RUA RUA TÔRRES, QD. 23, BL. A 7, , BARRA DE JANGADA	BARRA DE JANGADA	9090976,03	287365,16	2017	1	130000,00	83,00	83,00	4	3	2	38	1	2	2	1502,79
1.3115.743.01.0549.0001.3	131157430549	RUA SERTÃO, EDF.RESIDENCIAL PRAIA DO SOL, BARRA DE JANG	BARRA DE JANGADA	9091036,15	287158,56	2019	2	110000,00	83,00	11811,84	4	3	3	38	1	2	2	1351,82
1.3115.783.02.0694.0001.1	131157830694	RUA RONDINHA, , BARRA DE JANGADA	BARRA DE JANGADA	9090742,64	287022,59	2017	1	120000,00	70,00	70,00	4	3	3	50	1	2	2	1351,82
2.2570.064.06.0525.0001.9	225700640525	AVENIDA AVENIDA GENERAL MANOEL RABELO, 1600, SOCORRO	SANTANA	9102902,33	279777,07	2017	1	159000,00	50,54	13805,38	4	4	2	3	2	1	1	415,34
3.2460.164.01.0382.0001.8	324600400797	AVENIDA AVENIDA GEN. MANOEL RABELO, 5463, SUCUPIRA	SUCUPIRA	9104573,23	283280,30	2017	1	154020,00	44,00	44,00	1	4	2	3	2	1	1	477,85
3.2500.001.01.2910.0001.2	325000012910	AVENIDA AVENIDA GENERAL MANOEL RABELO, 1600, SOCORRO	SOCORRO	9103123,28	280725,27	2017	1	149555,00	19238,03	19238,03	2	4	2	13	2	2	2	930,99
3.2575.064.01.0600.0001.6	325750640600	RUA SANTA LUZIA, 2013, ZUMBI DO PACHECO	ZUMBI DO PACHECO	9101985,58	283270,55	2017	1	122000,00	50,00	50,00	4	3	2	5	1	2	1	579,10
3.2575.064.02.1235.0001.9	325750641235	RUA RUA SANTA LUZIA, , ZUMBI DO PACHECO	ZUMBI DO PACHECO	9101512,65	283240,05	2017	1	130200,00	50,00	50,00	4	4	2	3	1	2	1	483,18
4.2370.063.02.0307.0001.7	423700630307	AVENIDA LUIS GONZAGA, 40, CURADO IV	CURADO	9107898,18	279766,08	2017	1	90000,00	6000,00	6000,00	4	1	4	15	2	2	2	597,60
